Day,Date,Page_Loads,Unique_Visits,First_Time_Visits,Returning_Visits
Sunday,9/14/2014,2146,1582,1430,152
Monday,9/15/2014,3621,2528,2297,231
Tuesday,9/16/2014,3698,2630,2352,278
Wednesday,9/17/2014,3667,2614,2327,287
Thursday,9/18/2014,3316,2366,2130,236
Friday,9/19/2014,2815,1863,1622,241
Saturday,9/20/2014,1658,1118,985,133
Sunday,9/21/2014,2288,1656,1481,175
Monday,9/22/2014,3638,2586,2312,274
Tuesday,9/23/2014,4462,3257,2989,268
Wednesday,9/24/2014,4414,3175,2891,284
Thursday,9/25/2014,4315,3029,2743,286
Friday,9/26/2014,3323,2249,2033,216
Saturday,9/27/2014,1656,1180,1040,140
Sunday,9/28/2014,2465,1806,1613,193
Monday,9/29/2014,4096,2873,2577,296
Tuesday,9/30/2014,4474,3032,2720,312
Wednesday,10/1/2014,4124,2849,2541,308
Thursday,10/2/2014,3514,2489,2239,250
Friday,10/3/2014,3005,2097,1856,241
Saturday,10/4/2014,2054,1436,1274,162
Sunday,10/5/2014,2847,1913,1713,200
Monday,10/6/2014,4501,3181,2853,328
Tuesday,10/7/2014,4603,3163,2804,359
Wednesday,10/8/2014,4187,3014,2663,351
Thursday,10/9/2014,4343,2864,2545,319
Friday,10/10/2014,3565,2382,2100,282
Saturday,10/11/2014,2080,1457,1280,177
Sunday,10/12/2014,3031,2089,1856,233
Monday,10/13/2014,4814,3339,2973,366
Tuesday,10/14/2014,5040,3604,3217,387
Wednesday,10/15/2014,5028,3515,3094,421
Thursday,10/16/2014,4658,3331,2955,376
Friday,10/17/2014,3624,2477,2148,329
Saturday,10/18/2014,2285,1619,1416,203
Sunday,10/19/2014,3454,2346,2060,286
Monday,10/20/2014,5307,3717,3308,409
Tuesday,10/21/2014,5135,3701,3280,421
Wednesday,10/22/2014,5084,3611,3177,434
Thursday,10/23/2014,4650,3316,2940,376
Friday,10/24/2014,3571,2498,2170,328
Saturday,10/25/2014,2354,1661,1417,244
Sunday,10/26/2014,3497,2508,2218,290
Monday,10/27/2014,5294,3737,3286,451
Tuesday,10/28/2014,4643,3328,2905,423
Wednesday,10/29/2014,4596,3279,2863,416
Thursday,10/30/2014,4162,3041,2657,384
Friday,10/31/2014,2933,2007,1728,279
Saturday,11/1/2014,2202,1496,1270,226
Sunday,11/2/2014,3083,2204,1940,264
Monday,11/3/2014,4376,3057,2629,428
Tuesday,11/4/2014,4704,3141,2739,402
Wednesday,11/5/2014,4306,3200,2797,403
Thursday,11/6/2014,4178,3034,2627,407
Friday,11/7/2014,3236,2318,1975,343
Saturday,11/8/2014,2010,1536,1345,191
Sunday,11/9/2014,2901,2141,1849,292
Monday,11/10/2014,4754,3325,2885,440
Tuesday,11/11/2014,4417,3203,2793,410
Wednesday,11/12/2014,4535,3351,2897,454
Thursday,11/13/2014,4274,3194,2758,436
Friday,11/14/2014,3382,2423,2061,362
Saturday,11/15/2014,2085,1488,1280,208
Sunday,11/16/2014,3083,2215,1926,289
Monday,11/17/2014,4860,3559,3069,490
Tuesday,11/18/2014,4893,3570,3133,437
Wednesday,11/19/2014,4866,3544,3056,488
Thursday,11/20/2014,4584,3357,2899,458
Friday,11/21/2014,3914,2750,2361,389
Saturday,11/22/2014,2431,1716,1463,253
Sunday,11/23/2014,3157,2369,2082,287
Monday,11/24/2014,5045,3615,3146,469
Tuesday,11/25/2014,4746,3236,2821,415
Wednesday,11/26/2014,4314,2919,2513,406
Thursday,11/27/2014,3663,2476,2162,314
Friday,11/28/2014,3270,2268,1931,337
Saturday,11/29/2014,2905,1976,1695,281
Sunday,11/30/2014,4016,2832,2489,343
Monday,12/1/2014,5266,3877,3317,560
Tuesday,12/2/2014,5795,4274,3700,574
Wednesday,12/3/2014,5728,4217,3656,561
Thursday,12/4/2014,5293,3830,3295,535
Friday,12/5/2014,3934,2856,2479,377
Saturday,12/6/2014,3071,2165,1855,310
Sunday,12/7/2014,3876,2984,2582,402
Monday,12/8/2014,5878,4375,3829,546
Tuesday,12/9/2014,5712,4187,3635,552
Wednesday,12/10/2014,5491,4074,3480,594
Thursday,12/11/2014,5144,3801,3247,554
Friday,12/12/2014,3880,2860,2418,442
Saturday,12/13/2014,2605,1838,1538,300
Sunday,12/14/2014,3625,2650,2259,391
Monday,12/15/2014,4685,3478,3000,478
Tuesday,12/16/2014,4891,3338,2861,477
